Shipment Date,Matching Fields,Consignee,Consignee Full Address,Consignee Email 1,Consignee Phone 1,Consignee Website 1,Consignee Profile,Consignee Trade Roles,Shipper,Shipper Full Address,Shipper Email 1,Shipper Phone 1,Shipper Website 1,Shipper Profile,Shipper Trade Roles,Notify Party,HS Code,Goods Shipped,Volume (TEU),Gross Weight (kg)
2021-12-04,HS Code (4-digit): 9302,Connecta Importacao & Exportacao Ltda,"R. Antônio Manoel Moreira, 70 - ANDAR 2 SALA 201 - Fazenda, Itajaí - SC, 88301-640, Brazil",,,,https://panjiva.com/Connecta-Importacao-Exportacao-Ltda/60395768,"Trading Company, Wholesale",Acd Cargo,United States,,,,https://panjiva.com/Acd-Cargo/118370295,Logistics,CONNECTA IMPORTACAO & EXPORTACAO LTDA,93020000,1 X 20 CONTAINERS CONTAINING 6 PALLET OF FIREARMS - PISTOLS UNLOADED FIREARMS - RIFLES UNLOADED,1.0,1185.0
2021-11-28,Goods Shipped: 6 X 40 Containers Containing 9302 Cartons Of Toner Cartridge Laser Printer Option,Agility Logistics,"Av. Pres. Juscelino Kubitschek, 510 - CONJ 41 E 42 - Vila Nova Conceição, São Paulo - SP, 13571-410, Brazil",,,,https://panjiva.com/Agility-Logistics/77605668,Logistics,Agility Logistics,China,,,,https://panjiva.com/Agility-Logistics/87850091,"Manufacturer, Logistics",AGILITY LOGISTICS,00330000,6 X 40 CONTAINERS CONTAINING 9302 CARTONS OF TONER CARTRIDGE LASER PRINTER OPTION,12.0,35342.0
2021-10-16,Goods Shipped: 32 Boxes Of Fep 9302 X Fluoroplastic Resin,The Chemours Co Ind E Com De Produtos Quimicos Ltda,"Estrada Mun., 1156 - BLOCO C SALA 1 - Cidade Industrial Satélite de São Paulo, Guarulhos - SP, 07142-360, Brazil",,,,https://panjiva.com/The-Chemours-Co-Ind-E-Com-De-Produtos-Quimicos-Ltda/36198428,Manufacturer,Chemours Group,"Chemin du Pavillon 2, 1218 Le Grand-Saconnex, Switzerland",,,,https://panjiva.com/Chemours-Group/63403472,"",THE CHEMOURS CO IND & COM DE PRODUTOS QUIMICOS LTDA,39046900,32 BOXES OF FEP 9302 X FLUOROPLASTIC RESIN,0.18,809.0
2021-09-29,Goods Shipped: 1 Pallet Of Fep 9302 X Fluoroplastic Resin,Vanguard Logistics,"Av. Senador Feijó, 14 - Centro, Santos - SP, 11015-500, Brazil",,,,https://panjiva.com/Vanguard-Logistics/87842330,Logistics,Vanguard Logistic Group,Belgium,,,,https://panjiva.com/Vanguard-Logistic-Group/87846532,Logistics,VANGUARD LOGISTICS,39040000,1 PALLET OF FEP 9302 X FLUOROPLASTIC RESIN,0.05,708.0
2021-09-06,HS Code (4-digit): 9302,Ascensus Comercio Exterior Ltda,R DONA FRANCISCA 6750 TORRE 1 ANDAR 2 ZONA INDUSTRIAL NORT - JOINVILLE - SC - 89219530,,,,https://panjiva.com/Ascensus-Comercio-Exterior-Ltda/67786525,"",Hs Produkt Doo,UL MIRKA BOGOVICA 7 - KARLOVAC - - 0,,,,https://panjiva.com/Hs-Produkt-Doo/111930639,"",ASCENSUS COMERCIO EXTERIOR LTDA,93020000,1 X 20 CONTAINERS CONTAINING 300 BOXES OF PISTOLS,1.0,4328.0
2021-09-05,Goods Shipped: 5 Pallet Of Ptfe Fluoroplastic Resin 807 N Fep 100 X Fluoroplastic Resin Fep 9302 X Fluoroplastic Resin,Vanguard Logistics,"R. Fidêncio Ramos, 195 - 8 ANDAR - Itaim Bibi, São Paulo - SP, 04551-010, Brazil",,,,https://panjiva.com/Vanguard-Logistics/36198538,Logistics,Vanguard Logistic Group,Belgium,,,,https://panjiva.com/Vanguard-Logistic-Group/87846532,Logistics,VANGUARD LOGISTICS,39040000,5 PALLET OF PTFE-FLUOROPLASTIC RESIN 807N   FEP 100 X FLUOROPLASTIC RESIN   FEP 9302 X FLUOROPLASTIC RESIN,0.3,3519.0
2021-07-24,Goods Shipped: 2 Pallet Of Fep 9302 X Fluoroplastic Resin,Vanguard Logistics,"Av. Senador Feijó, 14 - Centro, Santos - SP, 11015-500, Brazil",,,,https://panjiva.com/Vanguard-Logistics/87842330,Logistics,Vanguard Logistic Group,Belgium,,,,https://panjiva.com/Vanguard-Logistic-Group/87846532,Logistics,VANGUARD LOGISTICS,39040000,2 PALLET OF FEP 9302 X FLUOROPLASTIC RESIN,0.05,632.0
2021-06-01,Goods Shipped: 4 Pallet Of Ptfe Fluoroplastic Dispersion 30 Fep 9302 X Fluoroplastic Resin Ptfe Fluoroplastic Disperson 33,Vanguard Logistics,"Av. Senador Feijó, 14 - Centro, Santos - SP, 11015-500, Brazil",,,,https://panjiva.com/Vanguard-Logistics/87842330,Logistics,Vanguard Logistic Group,Belgium,,,,https://panjiva.com/Vanguard-Logistic-Group/87846532,Logistics,VANGUARD LOGISTICS,39040000,4 PALLET OF PTFE-FLUOROPLASTIC DISPERSION 30 FEP 9302 X FLUOROPLASTIC RESIN PTFE-FLUOROPLASTIC DISPERSON 33,0.2,2465.0
2021-05-24,Goods Shipped: 3 Pallet Of Fep 100 X Fluoroplastic Resin Fep 9302 X Fluoroplastic Resin Fep Cj 95 X Fluoroplastic Resin,Vanguard Logistics,"Av. Senador Feijó, 14 - Centro, Santos - SP, 11015-500, Brazil",,,,https://panjiva.com/Vanguard-Logistics/87842330,Logistics,Vanguard Logistic Group,Belgium,,,,https://panjiva.com/Vanguard-Logistic-Group/87846532,Logistics,VANGUARD LOGISTICS,39040000,3 PALLET OF FEP 100 X FLUOROPLASTIC RESIN FEP 9302 X FLUOROPLASTIC RESIN FEP CJ 95 X FLUOROPLASTIC RESIN,0.19,2226.0
2021-04-03,Goods Shipped: ...40 Containers Containing 422 Drums Of Ptfe Fluoroplastic Dispersion Fep 100 X Fluoroplastic Resin Fep 9302 X Fluoroplastic Resin Fep Cj 95 X Fluoroplastic Resin,The Chemours Co Ind E Com De Produtos Quimicos Ltda,"Estrada Mun., 1156 - BLOCO C SALA 1 - Cidade Industrial Satélite de São Paulo, Guarulhos - SP, 07142-360, Brazil",,,,https://panjiva.com/The-Chemours-Co-Ind-E-Com-De-Produtos-Quimicos-Ltda/36198428,Manufacturer,Chemours Group,"Chemin du Pavillon 2, 1218 Le Grand-Saconnex, Switzerland",,,,https://panjiva.com/Chemours-Group/63403472,"",THE CHEMOURS CO IND & COM DE PRODUTOS QUIMICOS LTDA,39040000,1 X 40 CONTAINERS CONTAINING 422 DRUMS OF PTFE-FLUOROPLASTIC DISPERSION FEP 100 X FLUOROPLASTIC RESIN FEP 9302 X FLUOROPLASTIC RESIN FEP CJ 95 X FLUOROPLASTIC RESIN,2.0,13299.0
