ano,uf,total_no_ano
2018.0,ES,26
2018.0,GO,81
2018.0,MA,34
2018.0,MG,131
2018.0,MS,39
2018.0,MT,67
2018.0,PA,48
2018.0,PB,98
2018.0,PE,29
2018.0,PI,183
2018.0,PR,104
2018.0,RJ,150
2018.0,RN,18
2018.0,RO,59
2018.0,RR,41
2018.0,RS,53
2018.0,SC,62
2018.0,SE,6
2018.0,SP,150
2018.0,TO,52
2019.0,AC,5
2019.0,AL,6
2019.0,AM,40
2019.0,AP,49
2019.0,BA,36
2019.0,CE,100
2019.0,DF,10
2019.0,ES,30
2019.0,GO,59
2019.0,MA,8
2019.0,MG,14
2019.0,MS,41
2019.0,MT,60
2019.0,PA,32
2019.0,PB,62
2019.0,PE,19
2019.0,PI,127
2019.0,PR,52
2019.0,RJ,166
2019.0,RN,8
2019.0,RO,47
2019.0,RR,29
2019.0,RS,41
2019.0,SC,86
2019.0,SP,168
2019.0,TO,33
2020.0,AC,1
2020.0,AL,3
2020.0,AM,6
2020.0,AP,7
2020.0,BA,12
2020.0,CE,22
2020.0,DF,3
2020.0,ES,4
2020.0,GO,9
2020.0,MA,2
2020.0,MG,6
2020.0,MS,2
2020.0,MT,5
2020.0,PA,6
2020.0,PB,11
2020.0,PE,13
2020.0,PI,10
2020.0,PR,6
2020.0,RJ,109
2020.0,RN,35
2020.0,RO,6
2020.0,RR,6
2020.0,RS,7
2020.0,SC,35
2020.0,SE,1
2020.0,SP,13
2020.0,TO,4
2021.0,AL,2
2021.0,AM,8
2021.0,AP,2
2021.0,BA,5
2021.0,CE,29
2021.0,ES,14
2021.0,GO,3
2021.0,MA,1
2021.0,MG,3
2021.0,MS,26
2021.0,MT,5
2021.0,PA,2
2021.0,PB,4
2021.0,PE,4
2021.0,PI,3
2021.0,PR,4
2021.0,RJ,2
2021.0,RN,4
2021.0,RO,4
2021.0,RS,1
2021.0,SP,24
2021.0,TO,2
