txNomeParlamentar_x,vlrDocumento,txNomeParlamentar_y,avg_per_receipt
Silvio Costa Filho,245.47,5,49.094
SIMÃO SESSIM,238.05,2,119.025
MAURO MARIANI,236.98,3,78.99333333333333
VICENTE CANDIDO,231.73,5,46.346
Fernanda Melchionna,225.67000000000002,3,75.22333333333334
Chico D'Angelo,220.18,7,31.454285714285714
Coronel Armando,216.4,1,216.4
Daniel Silveira,210.95,6,35.15833333333333
Luciano Bivar,200.24,1,200.24
Joaquim Passarinho,200.0,1,200.0
Elias Vaz,198.06,3,66.02
JORGE CÔRTE REAL,187.85000000000002,3,62.616666666666674
GUSTAVO MITRE,183.7,3,61.23333333333333
LUIS CARLOS HEINZE,179.26,6,29.876666666666665
ANTONIO IMBASSAHY,176.0,1,176.0
JUNIOR MARRECA,164.2,1,164.2
Boca Aberta,156.34,3,52.11333333333334
Jesus Sérgio,151.32,2,75.66
BENITO GAMA,146.72,1,146.72
JOSE STÉDILE,145.96,4,36.49
Assis Carvalho,145.87,2,72.935
Paulo Pimenta,142.6,1,142.6
Alice Portugal,137.0,2,68.5
Fábio Ramalho,136.47,1,136.47
Jefferson Campos,132.98,2,66.49
Luiz Lima,132.26999999999998,2,66.13499999999999
Bia Cavassa,131.68,3,43.89333333333334
Vander Loubet,125.66,3,41.88666666666666
JOÃO FERNANDO COUTINHO,120.34,1,120.34
Vilson da Fetaemg,120.19999999999999,2,60.099999999999994
TONINHO PINHEIRO,111.71000000000001,2,55.855000000000004
Adriano do Baldy,110.99,4,27.7475
MARIA HELENA,110.97,2,55.485
BENJAMIN MARANHÃO,110.77,2,55.385
Jaqueline Cassol,104.0,3,34.666666666666664
Marlon Santos,100.0,1,100.0
FELIPE MAIA,95.78,1,95.78
Daniela do Waguinho,95.5,2,47.75
Bosco Costa,89.97,1,89.97
Leur Lomanto Júnior,89.21,1,89.21
Rodrigo de Castro,83.28,2,41.64
Sergio Souza,83.0,1,83.0
LUIZ SÉRGIO,76.11,2,38.055
Rachel Marques,75.82,1,75.82
Célio Studart,75.01,2,37.505
Carmen Zanotto,70.21,1,70.21
Dr. Frederico,65.78,1,65.78
Márcio Marinho,65.78,1,65.78
Joenia Wapichana,62.62,1,62.62
WEVERTON ROCHA,62.35,1,62.35
JORGINHO MELLO,62.35,1,62.35
Severino Pessoa,62.34,1,62.34
Capitão Fábio Abreu,58.760000000000005,2,29.380000000000003
Pedro Dalua,56.5,1,56.5
Fábio Mitidieri,53.45,2,26.725
Margarete Coelho,53.25,1,53.25
TAKAYAMA,52.589999999999996,3,17.529999999999998
Pedro Lucas Fernandes,51.5,1,51.5
Fábio Henrique,50.5,1,50.5
GOULART,50.05,1,50.05
LEONARDO QUINTÃO,49.51,1,49.51
PEPE VARGAS,48.9,1,48.9
Bira do Pindaré,44.21,1,44.21
Ricardo Izar,44.1,1,44.1
MARCO MAIA,44.0,1,44.0
Túlio Gadêlha,35.5,1,35.5
Áurea Carolina,35.4,1,35.4
WILSON BESERRA,32.9,1,32.9
MARCUS PESTANA,30.8,1,30.8
FLAVINHO,27.81,1,27.81
VALDIR COLATTO,26.0,1,26.0
Enio Verri,21.29,1,21.29
Pastor Gil,21.02,1,21.02
Vinicius Poit,9.56,1,9.56
